"Codigo";"Titulo";"Autor";"Editor";"Proveedor";"Tema";"COLECCION";"Cod.Barra";"ISBN";"Ubicacion";"Deposito";"Repos.";"Cant.Propio";"Cant.Terceros";"Cant.Reservados";"Cant.Total";"Ultima Venta";"Dep 1";"Dep 2";"Dep 3";"Dep 4";"Dep 5";"Dep 6";"Dep 7";"Dep 8";"Dep 9";"Dep 10";"Dep 11 Con";"PVP";"Accesorios";"Codigo Prov";""                                                                                                                                                                                              
9788475058054;"POESIAS (LOPE DE VEGA)/L *40*                     ";"LOPE DE VEGA        ";"LOSADA              ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09788475058054;"9788475058054";"                   ";"TODOS               ";               0;              8 ;               0;               0;              8 ;"19/04/2006";       8;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   900.00;"NO DEFINIDO ";"             ";" "             
0008437614651;"POESIAS COMPLETAS  *244*                          ";"RIMBAUD             ";"CATEDRA             ";"LOSADA S.A.         ";"A CATALOGAR         ";"ML                  ";09788437614656;"9788437614656";"                   ";"TODOS               ";               0;              5 ;               0;               0;              5 ;"16/07/2021";       5;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  3800.00;"NO DEFINIDO ";"             ";" "             
0009500307659;"POESIAS COMPLETAS (AGUSTINI)/L *741*              ";"AGUSTINI, D         ";"LOSADA              ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09789500307659;"9789500307659";"                   ";"TODOS               ";               0;             23 ;              4 ;               0;             27 ;"07/07/2021";      27;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   800.00;"NO DEFINIDO ";"             ";" "             
0000000030400;"POESIAS COMPLETAS (ALMAFUERTE)/L*515*             ";"ALMAFUERTE          ";"LOSADA              ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09789500307215;"9789500307215";"                   ";"TODOS               ";               0;             12 ;               0;               0;             12 ;"09/06/2021";      12;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  1000.00;"NO DEFINIDO ";"             ";" "             
9788437616537;"POESIAS COMPLETAS * VILLALON * ( 450 )            ";"VILLALON FERNANDO   ";"CATEDRA             ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09788437616537;"9788437616537";"                   ";"TODOS               ";               0;              4 ;               0;               0;              4 ;"15/04/2017";       4;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  2640.00;"NO DEFINIDO ";"             ";" "             
9789500353519;"POESIAS COMPLETAS CESAR VALLEJO/L                 ";"VALLEJO, CESAR      ";"LOSADA              ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09789500353519;"9789500353519";"                   ";"TODOS               ";               0;              8 ;              3 ;               0;             11 ;"02/08/2021";      11;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  1800.00;"NO DEFINIDO ";"             ";" "             
9788475058368;"POESIAS FRAY LUIS DE LEON                         ";"LEON, LUIS DE FRAY  ";"LOSADA              ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09788475058368;"9788475058368";"                   ";"TODOS               ";               0;             10 ;               0;               0;             10 ;"00/00/0000";      10;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   900.00;"NO DEFINIDO ";"             ";" "             
0008420645735;"POESIAS REUNIDAS 1909-1962                        ";"ELIOT, T.S.         ";"ALIANZA EDITORIAL   ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09788420645735;"9788420645735";"                   ";"TODOS               ";               0;              1 ;               0;               0;              1 ;"29/04/2017";       1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  3500.00;"NO DEFINIDO ";"             ";" "             
0000000030464;"POESIAS/OBLIGADO/L            *549*               ";"OBLIGADO            ";"LOSADA              ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09789500304641;"9789500304641";"                   ";"TODOS               ";               0;               0;              2 ;               0;              2 ;"11/05/1999";       2;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   800.00;"NO DEFINIDO ";"             ";" "             
9788437607252;"POETA EN NUEVA YORK                               ";"GARCIA LORCA        ";"CATEDRA             ";"LOSADA S.A.         ";"LITERATURA UNIVERSAL";"ML                  ";09788437607252;"9788437607252";"                   ";"TODOS               ";               0;              1 ;               0;               0;              1 ;"00/00/0000";       1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  2880.00;"NO DEFINIDO ";"             ";" "             
0008449409217;"POETA EN NUEVA YORK                               ";"GARCIA LORCA, F.    ";"OCEANO              ";"LOSADA S.A.         ";"LITERATURA UNIVERSAL";"ML                  ";09788449409219;"9788449409219";"                   ";"TODOS               ";               0;             10 ;               0;               0;             10 ;"03/03/2021";      10;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   900.00;"NO DEFINIDO ";"             ";" "             
0000000030493;"POETA EN NUEVA YORK/L         *578*               ";"GARCIA LORCA        ";"LOSADA              ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09789500308212;"9789500308212";"                   ";"TODOS               ";               0;             30 ;             13 ;               0;             43 ;"24/04/2021";      43;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   800.00;"NO DEFINIDO ";"             ";" "             
9789500394840;"POETICA (OMP.78)                                  ";"DILTHEY             ";"LOSADA              ";"LOSADA S.A.         ";"A CATALOGAR         ";"ML                  ";09789500394840;"9789500394840";"                   ";"TODOS               ";               0;             11 ;               0;               0;             11 ;"08/07/2021";      11;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  1400.00;"NO DEFINIDO ";"             ";" "             
0009500392879;"POETICA /L  (ARISTOTELES)                         ";"ARISTOTELES         ";"LOSADA              ";"LOSADA S.A.         ";"FILOSOFIA           ";"ML                  ";09789500392877;"9789500392877";"                   ";"TODOS               ";               0;             20 ;               0;               0;             20 ;"29/12/2020";      20;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  1400.00;"NO DEFINIDO ";"             ";" "             
9993979000037;"POETICA DE CESAR VALLEJO, LA                      ";"BALLON AGUIRRE, ENRI";"                    ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09789688630266;"9688630268   ";"                   ";"TODOS               ";               0;              1 ;               0;               0;              1 ;"00/00/0000";       1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  1760.00;"NO DEFINIDO ";"             ";" "             
